nimi_suomi,laji,laji_selite
Läntinen Alppirinne,"1",Katu
Lankanaulankatu,"1",Katu
Paunakuja,"1",Katu
Kaarelanvierto,"1",Katu
Sulhasenkatu,"1",Katu
Anjalantie,"1",Katu
Paavo Nurmen tie,"1",Katu
Agnes Sjöbergin katu,"1",Katu
Kissalammentie,"1",Katu
Kuusamonkatu,"1",Katu
Likolammentie,"1",Katu
Kurjenkellonkuja,"1",Katu
Pukinkuja,"1",Katu
Rahakamarinportti,"1",Katu
Valimokuja,"1",Katu
Ritokallionpolku,"1",Katu
Valakkapolku,"1",Katu
Hiihtäjänkuja,"1",Katu
Kipinä,"1",Katu
Seunalankuja,"1",Katu
Fokkakuja,"1",Katu
Nuotiokuja,"1",Katu
Karavaanikuja,"1",Katu
Asesepänkuja,"1",Katu
Franzéninkuja,"1",Katu
Zaidankatu,"1",Katu
Kestikuja,"1",Katu
Ruskontie,"1",Katu
Leanportti,"1",Katu
Olavinkatu,"1",Katu
Hornintie,"1",Katu
Itämerenkuja,"1",Katu
Purilaskuja,"1",Katu
Visbynkuja,"1",Katu
Sallatunturintie,"1",Katu
Urheilukalastajankuja,"1",Katu
Katontekijänkuja,"1",Katu
Tullikirjurintie,"1",Katu
Yläkivenpolku,"1",Katu
Vuoksentie,"1",Katu
Keinulaudankuja,"1",Katu
Pelimanninkuja,"1",Katu
Välikatu,"1",Katu
Ojatie,"1",Katu
Töysänkatu,"1",Katu
Runokylänkatu,"1",Katu
Meri-Rastilan kuja,"1",Katu
Vauhtitie,"1",Katu
Köökarinpolku,"1",Katu
Vanhanlinnankuja,"1",Katu
Palkkatilanportti,"1",Katu
Jarrumiehenkatu,"1",Katu
Verkkosaarenkuja,"1",Katu
Valurinkatu,"1",Katu
Renginkuja,"1",Katu
Kalasatamankatu,"1",Katu
Thomas Byströmin kuja,"1",Katu
Vanha Helsingintie,"1",Katu
Gustaf Hällströmin katu,"1",Katu
Pestikuja,"1",Katu
Tullirinne,"1",Katu
Rullalaakerinkuja,"1",Katu
Ampumaradantie,"1",Katu
Annikinkuja,"1",Katu
Silttikuja,"1",Katu
Nukkeruusunkuja,"1",Katu
Myllykallionrinne,"1",Katu
Kerkkäpolku,"1",Katu
Strandmaninkuja,"1",Katu
Humikkalanrinne,"1",Katu
Leposaarentie,"1",Katu
Areenankuja,"1",Katu
Hakamäentie,"1",Katu
Tivolikuja,"1",Katu
Kopernikuksentie,"1",Katu
Malmin kalmistotie,"1",Katu
Tutkamäentie,"1",Katu
Puntaritie,"1",Katu
Puusepänportti,"1",Katu
Kaasutehtaankatu,"1",Katu
Kappatie,"1",Katu
Mäntymäentie,"1",Katu
Hirviradantie,"1",Katu
Länsimäentie,"1",Katu
Kahvikatu,"1",Katu
Kärppäkuja,"1",Katu
Rapakivenkaari,"1",Katu
Laukkaniementie,"1",Katu
Sompionpolku,"1",Katu
Allastie,"1",Katu
Paavo Nurmen kuja,"1",Katu
Tallbonkuja,"1",Katu
Kesärannantie,"1",Katu
Lapinmäentie,"1",Katu
Tammiontie,"1",Katu
Kellomäenkaari,"1",Katu
Tulisuonkuja,"1",Katu
Otonkuja,"1",Katu
Gyldénintie,"1",Katu
Mäntykukantie,"1",Katu
Hierrinkuja,"1",Katu
Sahanmäenkuja,"1",Katu
Pallomäenrinne,"1",Katu
Rukankuja,"1",Katu
Kontokinkatu,"1",Katu
Ainonkatu,"1",Katu
Airoparinkuja,"1",Katu
Airoparintie,"1",Katu
Airoranta,"1",Katu
Airotie,"1",Katu
Airuentie,"1",Katu
Aisatie,"1",Katu
Aittatie,"1",Katu
Aivinakuja,"1",Katu
Ajomiehentie,"1",Katu
Ajopolku,"1",Katu
Akkutie,"1",Katu
Akseli,"1",Katu
Aku Korhosen tie,"1",Katu
Ala-Malmin raitti,"1",Katu
Alakiventie,"1",Katu
Alankotie,"1",Katu
Albertinkatu,"1",Katu
Aleksanteri Nevskin katu,"1",Katu
Aleksanterinkatu,"1",Katu
Aleksis Kiven katu,"1",Katu
Alempi Talonpojantie,"1",Katu
Alhokuja,"1",Katu
Alkukuja,"1",Katu
Alkutie,"1",Katu
Alppikatu,"1",Katu
Alppikylänkatu,"1",Katu
Alppikylänkuja,"1",Katu
Alvar Aallon katu,"1",Katu
Alvionkuja,"1",Katu
Alviontie,"1",Katu
Amiraalinkatu,"1",Katu
Ampiaiskuja,"1",Katu
Ampujantie,"1",Katu
Angervotie,"1",Katu
Anianpellontie,"1",Katu
Ankkapurhankuja,"1",Katu
Ankkurikatu,"1",Katu
Annalankuja,"1",Katu
Annankatu,"1",Katu
Ansaritie,"1",Katu
Antinkatu,"1",Katu
Antti Korpin tie,"1",Katu
Antti Mäen kuja,"1",Katu
Apollonkatu,"1",Katu
Apteekkarinkatu,"1",Katu
Arabiankatu,"1",Katu
Arentikuja,"1",Katu
Arentitie,"1",Katu
Arhipanpolku,"1",Katu
Arhotie,"1",Katu
Arinatie,"1",Katu
Armas Lindgrenin tie,"1",Katu
Armfeltintie,"1",Katu
Artjärventie,"1",Katu
Arttolankuja,"1",Katu
Arttolantie,"1",Katu
Artturi Kanniston tie,"1",Katu
Asemamiehenkatu,"1",Katu
Asemapäällikönkatu,"1",Katu
Asentajankatu,"1",Katu
Asesepäntie,"1",Katu
Asessorinkuja,"1",Katu
Asessorintie,"1",Katu
Asiakkaankatu,"1",Katu
Askarkuja,"1",Katu
Askartie,"1",Katu
Askolantie,"1",Katu
Asteritie,"1",Katu
Asteroidikuja,"1",Katu
Atlaksenkuja,"1",Katu
